
2025/05/13 (07:22:45) | ===> btop++ v.1.4.0
2025/05/13 (07:22:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (07:23:04) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (07:31:19) | ===> btop++ v.1.4.0
2025/05/13 (07:31:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/13 (07:32:12) | ===> btop++ v.1.4.0
2025/05/13 (07:32:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (07:32:22) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (07:44:16) | ===> btop++ v.1.4.0
2025/05/13 (07:44:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (07:44:22) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (08:36:24) | ===> btop++ v.1.4.0
2025/05/13 (08:36:24) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/05/13 (08:36:29) | ===> btop++ v.1.4.0
2025/05/13 (08:36:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (08:37:03) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (09:28:54) | ===> btop++ v.1.4.0
2025/05/13 (09:28:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (09:29:08) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (10:51:52) | ===> btop++ v.1.4.0
2025/05/13 (10:51:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (10:51:55) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (10:52:25) | ===> btop++ v.1.4.0
2025/05/13 (10:52:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (10:52:42) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (10:53:01) | ===> btop++ v.1.4.0
2025/05/13 (10:53:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (10:53:09) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (11:01:36) | ===> btop++ v.1.4.0
2025/05/13 (11:01:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (11:01:43) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (11:16:00) | ===> btop++ v.1.4.0
2025/05/13 (11:16:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/13 (11:16:39) | ===> btop++ v.1.4.0
2025/05/13 (11:16:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (11:16:46) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (12:28:24) | ===> btop++ v.1.4.0
2025/05/13 (12:28:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (12:28:31) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (12:30:00) | ===> btop++ v.1.4.0
2025/05/13 (12:30:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (12:30:06) | WARNING: Failed to join _runner thread on exit!

2025/05/13 (13:04:58) | ===> btop++ v.1.4.0
2025/05/13 (13:04:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (13:05:05) | WARNING: Failed to join _runner thread on exit!
